Module Entrys: 12977            Audit Entrys: 16              
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: access           Audit: NOT_FILTERED
Pid: 11094            Module: access           Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: lstat            Audit: NOT_FILTERED
Pid: 11094            Module: access           Audit: NOT_FILTERED
