Module Entrys: 8759             Audit Entrys: 3462            
Pid: 11093            Module: read             Audit: 5
Pid: 11093            Module: setitimer'       Audit: 21
Pid: 11093            Module: setitimer'       Audit: 8
Pid: 11093            Module: select           Audit: 12
Pid: 11093            Module: read             Audit: 12
Pid: 11093            Module: setitimer'       Audit: 12
Pid: 11093            Module: setitimer'       Audit: 3
Pid: 11093            Module: select           Audit: 21
Pid: 11093            Module: read             Audit: 79
Pid: 11093            Module: setitimer'       Audit: 21
Pid: 11093            Module: setitimer'       Audit: 4
Pid: 11093            Module: select           Audit: 21
Pid: 10167            Module: futex            Audit: 46
Pid: 10167            Module: futex            Audit: 232
Pid: 10167            Module: write            Audit: 47
Pid: 11093            Module: read             Audit: 21
Pid: 11093            Module: setitimer'       Audit: 257
Pid: 11093            Module: setitimer'       Audit: 5
Pid: 11093            Module: select           Audit: 78
Pid: 11093            Module: read             Audit: 8
Pid: 11093            Module: read             Audit: 78
Pid: 11093            Module: close            Audit: 4
Pid: 11093            Module: close            Audit: 4
Pid: 11093            Module: wait4            Audit: 4
Pid: 11093            Module: pipe             Audit: 4
Pid: 11093            Module: pipe             Audit: 4
Pid: 11093            Module: pipe             Audit: 78
Pid: 11093            Module: clone            Audit: 3
Pid: 11093            Module: close            Audit: 22
Pid: 11093            Module: fstat            Audit: 22
Pid: 11093            Module: fcntl            Audit: 22
Pid: 11093            Module: close            Audit: 56
Pid: 11093            Module: fstat            Audit: 3
Pid: 11093            Module: fcntl            Audit: 5
Pid: 11093            Module: close            Audit: 72
Pid: 11093            Module: fstat            Audit: 3
Pid: 11093            Module: fcntl            Audit: 5
Pid: 11093            Module: fcntl            Audit: 72
Pid: 11093            Module: fcntl            Audit: 3
Pid: 11093            Module: fcntl            Audit: 5
Pid: 11093            Module: fcntl            Audit: 72
Pid: 11093            Module: close            Audit: 72
Pid: 11093            Module: setitimer'       Audit: 72
Pid: 11093            Module: setitimer'       Audit: 72
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: epoll_wait'      Audit: 7
Pid: 10167            Module: read             Audit: 0
Pid: 10167            Module: sendmsg'         Audit: 1
