Module Entrys: 17201            Audit Entrys: 3553            
Pid: 12628            Module: statfs           Audit: 9
Pid: 12628            Module: statfs           Audit: 3
Pid: 12628            Module: brk              Audit: 257
Pid: 12628            Module: brk              Audit: 21
Pid: 12628            Module: openat           Audit: 257
Pid: 12628            Module: fstat            Audit: 0
Pid: 12628            Module: read             Audit: 5
Pid: 12628            Module: read             Audit: 9
Pid: 12628            Module: close            Audit: 9
Pid: 12628            Module: access           Audit: 10
Pid: 12628            Module: getrandom'       Audit: 9
Pid: 12628            Module: stat             Audit: 3
Pid: 12628            Module: openat           Audit: 257
Pid: 12628            Module: fcntl            Audit: 21
Pid: 12628            Module: fstat            Audit: 257
Pid: 12628            Module: read             Audit: 0
Pid: 12628            Module: close            Audit: 5
Pid: 12628            Module: stat             Audit: 9
Pid: 12628            Module: openat           Audit: 10
Pid: 12628            Module: read             Audit: 9
Pid: 12628            Module: close            Audit: 3
Pid: 12628            Module: sched_getaffinity' Audit: 257
Pid: 12628            Module: mmap             Audit: 21
Pid: 12628            Module: munmap           Audit: 257
Pid: 12628            Module: mmap             Audit: 0
Pid: 12628            Module: mmap             Audit: 5
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: mmap             Audit: 10
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: mmap             Audit: 3
Pid: 12628            Module: rt_sigprocmask'  Audit: 257
Pid: 12628            Module: sigaltstack'     Audit: 21
Pid: 12628            Module: sigaltstack'     Audit: 257
Pid: 12628            Module: rt_sigprocmask'  Audit: 0
Pid: 12628            Module: gettid           Audit: 5
Pid: 12628            Module: rt_sigaction'    Audit: 9
Pid: 12628            Module: rt_sigaction'    Audit: 10
Pid: 12628            Module: rt_sigaction'    Audit: 9
Pid: 12628            Module: rt_sigaction'    Audit: 9
Pid: 12628            Module: rt_sigaction'    Audit: 3
Pid: 12628            Module: rt_sigaction'    Audit: 257
Pid: 12628            Module: rt_sigaction'    Audit: 21
Pid: 12628            Module: rt_sigaction'    Audit: 257
Pid: 12628            Module: rt_sigaction'    Audit: 0
Pid: 12628            Module: rt_sigaction'    Audit: 5
Pid: 12628            Module: rt_sigaction'    Audit: 9
Pid: 12628            Module: rt_sigaction'    Audit: 10
Pid: 12628            Module: rt_sigaction'    Audit: 9
Pid: 12628            Module: rt_sigaction'    Audit: 3
Pid: 12628            Module: rt_sigaction'    Audit: 257
Pid: 12628            Module: rt_sigaction'    Audit: 21
